date,ticker,company_name,agent_type,risk_profile,decision,confidence,evidence_ids
2024-02-01,AAPL,Apple Inc.,valuation,risk_neutral,HOLD,0.6339061034014968,AAPL_PRICE_VOLUME_JAN2024
2024-02-01,AAPL,Apple Inc.,fundamental,risk_neutral,BUY,0.8200000000000001,AAPL_SEC_XBRL_SUMMARY_ASOF_2024-01-31
2024-02-01,AAPL,Apple Inc.,sentiment,risk_neutral,BUY,0.8166666666666667,AAPL_GDELT_202401_000
2024-02-01,AAPL,Apple Inc.,multi_agent,risk_neutral,BUY,0.7802041634870761,AAPL_risk_neutral_DEBATE
2024-02-01,AAPL,Apple Inc.,valuation,risk_averse,HOLD,0.8186226035612595,AAPL_PRICE_VOLUME_JAN2024
2024-02-01,AAPL,Apple Inc.,fundamental,risk_averse,HOLD,0.8200000000000001,AAPL_SEC_XBRL_SUMMARY_ASOF_2024-01-31
2024-02-01,AAPL,Apple Inc.,sentiment,risk_averse,BUY,0.8166666666666667,AAPL_GDELT_202401_000
2024-02-01,AAPL,Apple Inc.,multi_agent,risk_averse,HOLD,0.6831538137450149,AAPL_risk_averse_DEBATE
2024-02-01,AAPL,Apple Inc.,valuation,risk_seeking,HOLD,0.6488064960907476,AAPL_PRICE_VOLUME_JAN2024
2024-02-01,AAPL,Apple Inc.,fundamental,risk_seeking,BUY,0.8200000000000001,AAPL_SEC_XBRL_SUMMARY_ASOF_2024-01-31
2024-02-01,AAPL,Apple Inc.,sentiment,risk_seeking,BUY,0.8166666666666667,AAPL_GDELT_202401_000
2024-02-01,AAPL,Apple Inc.,multi_agent,risk_seeking,BUY,0.7790293026994063,AAPL_risk_seeking_DEBATE
2024-02-01,MSFT,Microsoft Corp.,valuation,risk_neutral,BUY,0.6004070031958887,MSFT_PRICE_VOLUME_JAN2024
2024-02-01,MSFT,Microsoft Corp.,fundamental,risk_neutral,BUY,0.9,MSFT_SEC_XBRL_SUMMARY_ASOF_2024-01-31
2024-02-01,MSFT,Microsoft Corp.,sentiment,risk_neutral,HOLD,0.55,MSFT_GDELT_202401_000
2024-02-01,MSFT,Microsoft Corp.,multi_agent,risk_neutral,BUY,0.7829401432078196,MSFT_risk_neutral_DEBATE
